"LDP" "NFP" "SKG" "JCP" "gender" "education" "age"
75 50 50 25 "male" 2 66
25 50 50 25 "male" 2 54
70 50 50 20 "female" 1 65
50 60 50 0 "male" 4 59
90 70 75 60 "female" 1 62
50 50 50 50 "male" 1 58
50 50 50 30 "male" 2 57
50 50 50 30 "female" 2 43
50 25 50 25 "male" 1 64
75 25 50 0 "male" 2 60
50 50 50 50 "female" 2 60
25 75 50 0 "male" 1 65
75 50 50 0 "male" 2 59
75 25 25 0 "male" 1 74
50 50 25 25 "female" 1 64
70 50 50 80 "male" 1 70
50 70 0 0 "male" 2 51
20 20 30 50 "male" 2 59
50 50 40 25 "male" 4 63
50 30 50 30 "male" 2 57
10 90 10 10 "female" 2 65
50 50 50 25 "female" 2 53
50 50 25 0 "female" 1 64
75 75 50 50 "male" 3 60
75 25 75 0 "female" 1 66
65 60 50 10 "female" 1 62
60 55 62 10 "female" 2 55
58 50 48 5 "female" 2 50
20 70 10 10 "male" 3 65
60 40 50 50 "female" 2 52
60 20 20 30 "male" 2 63
75 75 75 25 "female" 4 49
50 50 50 40 "male" 1 81
55 55 70 40 "male" 2 64
50 50 50 25 "male" 2 68
85 55 55 0 "male" 1 67
50 75 50 25 "female" 2 79
60 60 50 0 "female" 1 59
70 70 30 30 "male" 1 56
75 50 0 0 "male" 2 74
75 75 75 75 "male" 3 70
75 0 0 50 "male" 2 68
80 60 50 20 "male" 2 65
60 40 30 10 "male" 2 55
60 55 60 10 "female" 1 74
75 75 40 5 "female" 2 64
60 50 40 10 "female" 3 42
50 80 20 20 "male" 2 48
75 80 50 50 "female" 1 52
43 40 70 20 "male" 2 41
50 70 30 0 "female" 3 44
20 100 0 0 "female" 2 27
70 30 30 10 "male" 1 75
75 50 100 25 "male" 2 58
50 50 50 30 "male" 2 44
75 50 50 25 "female" 3 48
50 50 50 25 "female" 2 60
50 50 50 25 "female" 2 49
25 25 50 75 "female" 3 52
50 50 30 30 "male" 1 62
50 50 50 75 "male" 2 69
75 50 25 0 "male" 2 56
50 50 50 0 "male" 2 34
50 80 0 25 "male" 2 75
40 50 0 10 "female" 3 67
70 50 40 0 "male" 2 57
50 25 50 80 "male" 1 52
40 90 0 0 "female" 1 48
50 60 20 0 "male" 4 69
50 50 15 25 "male" 1 35
50 50 50 50 "male" 2 41
70 50 30 0 "female" 2 69
50 40 50 30 "male" 2 66
30 40 20 20 "male" 3 40
50 75 25 0 "male" 2 57
30 30 30 40 "female" 2 59
75 60 40 0 "male" 4 44
50 75 25 25 "male" 2 59
75 50 50 25 "female" 2 57
75 50 50 0 "male" 1 54
50 25 50 25 "male" 3 66
50 75 30 25 "male" 1 59
25 50 25 0 "male" 2 50
25 75 25 0 "female" 3 36
25 50 25 0 "male" 2 45
25 75 75 50 "female" 2 51
25 75 0 0 "male" 2 62
50 75 0 50 "male" 2 36
70 50 50 30 "male" 2 55
75 50 75 0 "male" 4 64
50 75 50 25 "female" 1 59
70 60 40 30 "female" 2 41
70 30 50 30 "male" 2 51
50 40 40 20 "male" 2 42
50 75 50 0 "female" 2 47
75 40 25 10 "female" 2 50
75 75 50 40 "female" 3 51
75 50 50 60 "female" 1 72
80 40 50 30 "female" 1 69
80 60 40 0 "female" 1 68
75 25 75 0 "female" 2 46
50 50 25 25 "male" 2 77
25 25 25 0 "male" 2 42
70 10 60 30 "male" 2 68
80 50 20 0 "female" 1 60
50 50 20 10 "female" 2 55
90 50 30 10 "male" 2 49
50 10 0 0 "female" 3 49
50 80 20 0 "female" 1 58
45 60 50 0 "male" 2 53
50 50 50 0 "male" 2 49
75 50 50 25 "male" 2 56
75 100 50 0 "female" 3 43
100 75 50 0 "male" 2 48
75 75 0 0 "female" 1 59
100 75 25 0 "female" 2 48
100 75 25 0 "male" 1 68
75 50 0 0 "female" 2 61
70 30 30 0 "female" 2 59
50 50 50 50 "female" 3 30
75 50 25 0 "male" 1 78
75 50 25 25 "male" 2 53
75 50 25 0 "female" 2 50
75 25 100 0 "male" 1 62
70 50 60 25 "female" 2 59
75 50 50 0 "male" 2 48
50 50 50 50 "male" 2 61
0 90 50 50 "female" 2 33
55 45 55 30 "male" 2 63
25 25 25 50 "female" 2 40
50 25 25 50 "male" 2 65
0 100 0 0 "female" 2 25
80 0 30 30 "male" 2 67
25 80 20 15 "male" 2 60
25 75 25 0 "female" 2 58
70 70 50 0 "male" 1 52
50 25 25 50 "male" 4 54
70 40 30 0 "male" 4 47
30 0 80 30 "female" 3 51
0 50 0 0 "female" 3 54
50 100 25 0 "female" 2 61
75 70 40 0 "female" 2 67
25 75 25 25 "male" 4 61
50 70 20 10 "male" 2 37
25 100 0 0 "female" 3 54
75 75 50 0 "male" 4 46
60 70 40 40 "female" 2 47
45 50 30 30 "female" 2 37
60 40 50 30 "male" 1 62
25 100 0 0 "female" 2 43
25 25 55 20 "male" 2 65
0 0 0 85 "male" 4 64
75 50 78 10 "male" 1 68
50 25 75 50 "male" 4 67
25 75 25 0 "male" 4 76
5 0 10 90 "male" 2 62
50 70 50 45 "male" 2 61
40 50 40 50 "female" 2 41
50 25 50 75 "male" 2 61
25 100 0 0 "female" 2 58
70 30 60 30 "male" 2 54
40 30 50 75 "male" 4 35
55 55 45 40 "male" 1 50
50 75 25 25 "male" 2 64
25 25 25 25 "male" 4 50
70 40 60 10 "male" 2 53
70 60 50 40 "male" 2 55
25 100 0 75 "female" 1 54
40 90 60 10 "male" 3 69
25 50 20 0 "male" 1 60
75 75 25 0 "male" 4 71
50 50 50 0 "male" 2 44
60 50 70 50 "male" 4 40
40 40 80 20 "female" 1 48
40 50 70 30 "female" 2 57
70 50 80 20 "female" 1 43
70 60 40 20 "female" 2 46
40 40 80 30 "male" 1 49
30 30 60 60 "male" 4 41
60 70 40 30 "female" 2 28
80 60 50 10 "male" 1 62
75 75 50 0 "male" 2 57
60 60 40 10 "male" 4 51
60 30 70 60 "male" 4 58
60 70 50 0 "female" 4 52
60 50 70 50 "male" 4 44
60 70 50 50 "male" 1 74
50 80 50 30 "male" 1 32
30 30 30 70 "female" 1 56
50 0 50 0 "male" 2 42
80 25 25 0 "male" 2 67
90 70 50 10 "male" 2 59
50 50 50 50 "male" 1 58
70 80 55 25 "male" 2 45
75 90 25 10 "male" 4 57
50 50 50 30 "male" 3 60
100 50 30 0 "male" 3 31
50 100 25 0 "male" 2 31
25 75 25 25 "female" 2 34
70 60 40 0 "male" 2 62
50 60 20 10 "male" 3 74
40 60 40 30 "female" 2 71
50 70 30 30 "male" 1 64
70 40 30 60 "male" 1 72
50 50 50 50 "female" 3 30
100 40 50 30 "male" 1 65
70 50 70 50 "male" 4 63
75 50 25 25 "male" 2 62
75 0 100 90 "female" 3 61
25 75 20 20 "male" 2 51
75 0 75 25 "male" 4 53
70 40 60 0 "male" 2 52
30 80 20 20 "male" 2 49
70 50 50 0 "female" 2 43
50 50 50 25 "female" 2 48
40 75 40 40 "male" 2 53
70 0 80 50 "male" 4 31
25 25 50 25 "male" 2 50
70 70 75 20 "female" 3 60
75 25 20 25 "female" 1 27
75 50 50 50 "male" 2 40
60 40 50 20 "male" 4 51
50 75 50 0 "female" 2 66
60 70 50 50 "male" 4 63
50 50 50 50 "female" 2 27
50 50 60 40 "female" 1 62
50 70 30 0 "female" 2 70
50 50 30 0 "male" 2 70
80 80 80 20 "male" 3 66
50 80 30 30 "male" 2 65
80 80 10 0 "male" 4 35
90 50 50 30 "male" 1 77
80 50 80 80 "male" 2 58
50 60 40 40 "female" 2 68
70 50 50 40 "male" 2 63
50 0 0 0 "male" 2 60
50 50 75 50 "male" 2 68
25 90 10 25 "female" 2 32
30 20 25 50 "female" 2 46
50 90 20 10 "female" 2 59
90 50 50 0 "male" 2 73
40 25 25 50 "female" 3 63
60 60 60 50 "female" 2 60
50 50 50 75 "female" 2 39
25 25 25 75 "male" 2 44
35 60 0 0 "male" 1 55
70 50 50 40 "female" 2 31
75 75 50 0 "male" 2 66
75 75 75 0 "male" 2 72
50 75 50 25 "female" 2 47
25 75 50 25 "female" 2 37
30 80 50 50 "male" 4 56
60 40 40 10 "male" 2 57
80 50 50 50 "male" 3 56
50 75 25 25 "female" 4 44
100 75 75 25 "male" 4 46
80 50 40 10 "female" 4 31
50 25 75 25 "male" 4 43
75 60 70 0 "female" 1 48
50 75 50 25 "male" 2 62
75 50 50 0 "female" 2 42
50 50 50 0 "female" 2 47
75 0 25 25 "female" 2 54
80 75 40 0 "male" 2 63
60 70 0 0 "male" 2 72
50 60 30 0 "male" 2 47
50 75 0 0 "female" 2 42
50 100 25 0 "male" 1 60
75 50 0 0 "male" 2 67
80 70 40 20 "female" 2 70
70 80 50 10 "male" 1 70
60 80 20 30 "male" 4 64
50 60 10 10 "male" 2 67
50 70 60 30 "male" 2 58
25 75 5 0 "female" 2 56
50 50 50 50 "female" 2 68
50 50 50 0 "male" 1 69
50 25 50 25 "female" 1 66
50 80 50 0 "male" 2 49
30 0 90 10 "female" 1 63
40 0 0 30 "female" 4 37
75 25 50 25 "female" 2 54
80 0 70 0 "female" 1 71
50 30 25 0 "female" 2 51
80 20 25 0 "female" 3 31
25 50 0 0 "male" 2 66
50 25 75 25 "male" 2 70
10 5 10 1 "male" 2 39
10 7 7 1 "female" 1 63
75 50 50 25 "female" 2 76
50 75 75 25 "female" 2 56
50 100 50 25 "female" 2 65
50 75 25 50 "male" 4 29
50 50 40 20 "female" 1 77
50 40 30 50 "male" 1 65
